location,title,salary_range,description,requirements,benefits,fraudulent
"US, CA, San Jose",Senior Engineering Product Manager,,"Senior Engineering Product ManagerAs a member of the Service Provider Engineering team, you will be responsible for managing the development of broadband DSL products targeted at service providers that provide Home Gateway, voice gateways, wireless adapters, IPTV and Voice over IP (VoIP) services. These products will incorporate one or several of the following technologies: DSL, Routers, 802.11 Wireless, VPN, Firewalls.  The primary function of an engineering product manager is project management and technical oversight. The individual manages the ODM to ensure that products are delivered in a timely fashion to a high quality and in accordance with the procedures and systems. In addition the individual oversees the activities between the component vendors and the ODM. Within the service provider group, another important project management aspect is working with the sales engineers to get products approved at service providers. The individual must manage the technical issues that arise during the approval process and ensure a rapid resolution by working with and through the sales engineers, ODMs and Component vendors. A word from the Recruiter: ""Some of the exciting things that retain engineers here are the new technologies that we integrate into our products. Most People hear about these technologies 9 months after the product development has launched, our engineers actually start learning about the new technologies in advance of any silicon introductions. In most cases, we are an early partner to silicon vendors and help guide the silicon features. This is extremely rare for many of the new members, once they do the first project they want more and more. As you can imagine the value of that engineer is much greater then when they walked in the door."" ""Most engineers that I interview have been disappointed by their employers, and when asked how much ownership they have of the product they developed, the answer is always something like : I only did this this portion of the software, or some portion of the chip, or some portion of the hardware. Not much of an empowerment here.  Here, the PE is the complete owner of every molecule of the product, including mechanical, operation, finance, cost, etc. This empowerment is another added value boost an engineer could benefit from, this value is rare and will push the engineer in the direction of someday running a business end to end with a larger responsibility and scope. The more of these projects they take the faster they reach that level of career growth and maturity."" This is what not shared on the JD. ""How you will mature your career."" Job Responsibilities: • For assigned projects, take overall responsibility for delivering the product to production; including requirements generation, hardware, firmware, documentation, regulatory testing and Agile release requirements, per Netgear policies. It is expected that projects should be managed with minimal supervision. • Project management. Develop and maintain project plans. Keep all stakeholders informed of product status at all times• Project Execution. Manage the suppliers' (ODM, chip vendor, etc.) product development process. • Product Verification. Manage verification testing of product features and performance. • Customer Certification. Manage qualification of products with customers.• Documentation. Provide input for manuals, help files, application notes, marketing materials and tech support.• Support. Resolve any 3 rd level technical support escalations. • Track industry technology developments, supplier roadmaps, standards bodies and make product recommendations","Skills and Requirements MSEE with 5 years of experience in customer premise equipment (CPE) or high volume product developmentDSL Broadband CPE product development experience required802.11 or wireless broadband product development experience requiredManagement of engineering team experience is requiredExperience with developing 3G/4G devices is desiredExperience certifying products with large service providers a plusExperience in complete development life cycle of technology productsSystems engineering background with significant hands-on experience in product development.In depth Domain knowledge in IP networking for Home gatewaysEffective organization, project management and coordination skills; ability to get the job done.Ability and willingness to take ownership of products; get the job done with minimal supervision.Teamwork. This position requires a close working relationship with the extended Netgear team, including engineering, operations, sales, customer support, marketing and program management. Good communication skills, both written and verbal.Experience working in a start-up environment.Self-starter that works well on a team.","What is offered:Broad responsibility, autonomy and visibility in an Engineering role.In-depth exposure to real-world customer issues across a global customer baseSmall-company feel in a growth environmentOpportunity for executive advancementVery competitive compensation packageSignificant stake in equity, stock optionsAttractive bonus programFull benefits package including generous retirement contributionsOpportunity for executive advancementReputable, renowned world-class leadershipQualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters. ",1
"US, CA, Santa Monica",Client Services Manager,,"Have you worked as management consultant, built an outsourced operation or rapidly scaled a startup? Do you love to travel internationally, work with other people from all over the world and manage client relationships? Are you ready to help today's fastest growing companies to scale their international operations? If you answered ""Yes"" to these three questions then we want you to join the TaskUs Client Services team.You will be based in our offices in Santa Monica, Calif and travel frequently with our sales team to prove to prospects that TaskUs is the right fit. After we have earned a clients business you will travel to our offices in the Philippines and work directly with our management team in the country to hire and train key players. You will collaborate with TaskUs HQ, our Philippines operations and recruitment teams, and your client’s executive and operational teams to ensure success.In every instance you will be supporting today's fastest growing companies, companies like HotelTonight, Whisper and Tinder to scale their international operations. Every campaign is different, challenging, and ultimately rewarding as you monitor your team’s growth. In addition to client success, you will play a direct role in the operational growth of the business with HQ strategic initiatives. You will impact and witness first hand the company’s annual revenue goals of 100% revenue growth year after year. Finally, you will manage hundreds of people in the United States and the Philippines, and (soon) Latin America.This opportunity requires proven industry expertise, strong operational knowledge, problem solving skills, and team-oriented attitude that TaskUs is built upon. It also requires you to commit a minimum 50% of the year traveling to our clients offices throughout the United States, United Kingdom and Canada and our offices in the Philippines.","EDUCATION: BA/BS required, Masters preferred.EXPERIENCE: At least 2 years experience in a management consulting, operations and/or account management role.Advanced knowledge of Excel, PowerPoint and Salesforce.Willing to travel domestically and internationally up to 50% of the time.Advanced knowledge of email ticketing and cloud based phone systems (i.e. Zendesk, #URL_99ff7d831a962ee44e093fdfff5cdcc0598fa3730cb75323d4621f5c1b9d41b6#, RightNow, inContact, Five9 or 8x8).International vendor management experience.Experience managing customer care and/or back office operations preferred.","TaskUs is where people who are fed up with the status quo come to thrive. We are a collective of doers who believe that even if something isn’t broken, it could still do with some fixing. Our attitude to continuous improvement is just one of the beliefs that emanate from our core values – the backbone of our company and our culture.Together we believe we can create an organization that is unlike any other we’re well on our way to doing it. From Washio credits to mindfulness meditation lessons, an environment of total transparency and a relentless focus on experimentation, we’re creating a 21st Century organization destined for big things. Come join us.  Highlights:TaskUs is Powering LA’s Tech BoomThe StartUp World’s Little SecretThe Anonymous App PoliceOur Story",0
"US, NY, New York",Operations Manager,,"Super Soccer Stars is excited to offer a new, dynamic position in our Manhattan Office: Operations Manager.  If you are an organized and experienced leader with the ability to supervise multiple, simultaneous projects from start to finish and coordinate business operations between departments, then we would like to hear from you.We are the area's largest children's soccer development company, committed to delivering the highest quality programming, holding over 1,000 classes each week throughout the Tri-State area and beyond. We are looking for a smart, detailed, self-motivated individual with excellent communication skills, who can think outside of the box, problem-solve and take ownership of his/her responsibilities--the type of person who can anticipate and prevent problems, who is capable of spotting a mistake from a mile away and won't sleep until everything is in its place, ready, and triple-checked.Responsibilities:Coordinating and communicating the schedules of 200+ part-time staffSupervising the Staffing and Equipment TeamsAnalyzing schedule details to optimize long-term staff placementsCoordinating seamlessly between departments to support business operationsOversee weekend operationsProviding leadership in managing the department's part-time and full-time staff including effective communication and policy implementationWork schedule is Thursday -- Monday, with hours 8:00AM-5:00PM. If you are not willing to work these hours, please do not apply.Please submit a detailed and specific cover letter explaining why you would be the right person for this position, specifying salary history and requirements.  Be sure to also attach an updated version of your resume. Any application that does not include these elements will not be considered.",Minimum of 3 years' management experience in an operational settingExceptional written and oral communication skillsExtreme professionalism and the ability to work effectively under pressure in a dynamic environment while delivering flawless resultsImpeccable communication skills and a solutions based approached to problem-solving are imperativeExperience with and passion for sports and/or soccer is preferredBachelor's degree,"We offer a competitive starting salary, excellent growth potential, outstanding benefits (health and dental insurance, 25 days of Paid Time Off, matched 401K plan, etc.) and an extremely friendly and energetic work environment.",0
"US, CA, San Mateo",Research Engineer Data Science,,"Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters.  Research Engineer | Data Science | San Mateo, CA Responsibilities include understanding and implementing algorithmic approaches, building needed prototypes, testing them on large scale data sets, and finally implementing end-to-end solutions and deploying them into production.Responsibilities:Key Responsibilities: Full understanding of the current machinery in place as well as new algorithmic approaches to be followed.Ownership of near-production prototypes and production-grade modules.Execution of experiments on production environment and validation of results.Brainstorming and taking part in algorithm designs.Exploration of large datasets and finding optimal ways to use data for modeling. ","Position requirements: Quickly learning new areas; being able to read scientific papers, analyze approaches, and implement algorithms efficiently.Working independently on complex problems.Writing production-grade code is required.Learning new programming languages and try out new software packages (C/C++ familiarity required, expertise preferred).Industry software engineering experience preferred.Experience as a Research intern or other research-related experience preferred.MS or PhD in the area of Machine Learning or related preferred. ","Our core values drive our culture. This is what we believe: Why #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#? Watch our culture video to learn more.MAKE OUR CUSTOMERS SUCCESSFUL Our customers' success is ours. We live to solve their problems, improve their futures, and exceed their expectations. When our customers win, we win.SET THE BAR HIGH. We're trying to revolutionize an industry, so we can't be just good—we have to be the best. That means striving for the best team, product, and company on the planet.BE ACCOUNTABLE. We own our work. We keep our promises. And we always follow through. We take responsibility for failures, and humble bows for successes. There's no time for excuses and finger pointing.SHOW INTEGRITY. Forget loopholes, back doors, and shades of gray. We just say it. We are honest and straightforward with everyone. The only way we can bring clarity to a chaotic world is to walk-the-walk ourselves.MAKE EACH OTHER BETTER. Everything we achieve, we achieve together. Nobody is too important to grab a broom.ALWAYS MOVE FORWARD. We see the world as it could be, not just as it is. With our passion for finding new solutions to old problems, we're creating that new world. It's a future worth adapting to.The Benefits Generous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!                                                                 ",1
"US, WA, ",Credit and Collections Clerk,1500.0,"The credit and collections clerk directly supports the company through effective management of accounts receivable, credit worthiness and collectability of receivables and the delivery of timely financial data to senior managementThe successful candidate will assist the Credit &amp; Collections Supervisor in:Duties and Responsibilities:Manage monthly AR portfolio and assist in preparation of monthly reportingComprehensive review of outstanding receivables and initiate follow through with collection accountsResearch and resolve deductionsMaintain timely and accurate records, customer communications and account reconciliationsFrequent interaction with sales, finance and customer service personnel within the North American business units to identify root causes and resolve issues",#NAME?,"career. We offer a competitive salary and benefits package that includes health and dental insurance, paid vacation, a 401(k) plan, paid training, and much more. Ready for some rapid growth of your own.",1
"US, TX, AUSTIN", Data Entry Representative,2500.0,Responsible for reviewing details of tickets to ensure they contain the data required by customers.Monitors the bin movements to ensure the activity seen matches the paperwork providedWatches contract levels vs volume remaining in bins and reports any discrepancy to quality managerProvides ticket copies to customers as neededAnswers any questions the customers may have on specific ticketsAdvises plant managers of any missing paperworkCollect paperwork from North and South Plant. Review bin information. To include sand being pulled from correct bin. Bin movement is in line with activity.esponsible for reviewing details of tickets to ensure they contain the data required by customers.Monitors the bin movements to ensure the activity seen matches the paperwork providedWatches contract levels vs volume remaining in bins and reports any discrepancy to quality managerProvides ticket copies to customers as neededAnswers any questions the customers may have on specific ticketsAdvises plant managers of any missing paperworkCollect paperwork from North and South Plant. Print items scanned from AmarilloReview bin information. To include sand being pulled from correct bin. Bin movement is in line with activity.Requirements:  - See more at: #URL_1d7626d7c5ba3ff0d31c49d2adda5d517e38070ec37e61c84db213e32cefb616#~WQG~1318232T1~99/?utm_source=Indeed&amp;utm_medium=organic&amp;utm_campaign=Indeed&amp;id=2129##URL_7ecc8c08b19f903a44541e4f593f10d4b74fce2e474d104bb1a084463ed14145#,HIGH SCHOOL DIPLOMAWORK GOOD ON A TEAM,"FULL TIMESALARY $35,000- $40,000HEALTH CARE, DENTAL, LIFE INSURANCE , STOCK PLAN OPTION",1
"US, NV, LAS VEGAS",Administrative Assistant,,"Administrative AssistantEssential Job Responsibilities:Answering and routing telephone calls to appropriate peopleScheduling appointmentsMaintain paper and electronic filing systems for records and messagesLimited courier responsibilitiesPerform any additional duties as assigned or requestedRequired Qualifications:At least two years of experience and knowledge to perform essential job functions assignedAble to work in a fast-pace environment and be able to multi-taskExcellent communication skills and computer knowledge (QuickBooks a plus)Well organized, highly dependable, and efficientMust have problem solving skills and be detailed orientedMaintain respect at all times for confidential informationStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth Opportunities",,,1
"US, TX, Houston",Sales Rep for AT&T Solutions Provider - Management Training,11000.0,"Interviewing now for full-time positions in NW Houston TX. No experience required.We are Argenta Field Solutions, a rapidly growing Fortune 500 partner, which specializes in direct sales for industry leading companies nationwide; AT&amp;T, DirecTV, ADT. Argenta Field Solutions is an award-winning and authorized AT&amp;T Solutions Provider.Argenta Field Solutions values the client, creates income streams for them through our sales mechanism and focuses on quality &amp; numbers rather than numbers alone. While this is paramount to our foundation, the foundation itself is our people. Environment, Training and Compensation are the tripod that support our workforce. The same way we believe in quality of sales, we believe even more in quality of our people's environment, training and compensation.Direct Sales Rep positions now available on our AT&amp;T U-verse sales team. We provide all the tools and training to be highly successful and offer opportunity for career minded, top performers to step up into leadership roles. Positions- Sales Rep w/Management Training- Assistant Manager- Market Manager Compensation- $45k-$67k per year (entry level)  - Weekly pay - Direct deposit  - Bonuses (daily, weekly &amp; monthly)","- Sales experience preferred- Ability to work in high energy, team environment- Goal/Career Oriented- Strong work ethic - Professional integrity - Pre-employment screening","- AFLAC- Health Insurance (Management) - Training (Initial &amp; Ongoing)- Vacation &amp; sick time- Paid travelSchedule an interview by contacting Craig @ (361) 400-2907(This is not a telemarketing or call center position)To learn more about Argenta Field Solutions, visit our website @ #URL_1d9e75fb4100e4ecdc0d72a1205f398abb97bf07f3018745f8fbcab82dc07ef3#  Argenta Field Solutions - Locations Currently Hiring711 N Carancahua St, Suite 1750, Corpus Christi TX 7840115600 San Pedro Ave, Suite 105, San Antonio TX 782323463 Magic Dr, Suite 252, San Antonio TX 782292855 Mangum Rd, Suite 417, Houston TX 770921100 E Nasa Pkwy, Suite 410, Houston TX 770589896 Bissonnet St, Suite 454, Houston TX 770362201 N Collins St, Suite 252, Arlington TX 760114101 McEwen, Suite 530, Dallas TX 75244222 E Van Buren, Suite 511, Harlingen TX 785501001 S 10th St, Suite 201, McAllen TX 785041111 Park Centre Blvd, Suite 207, Miami FL 33169   keywords: sales, outside, direct, commission, cable, security, alarm, security, internet, tv, directv, dish, satellite, assistant manager, manager, customer service, csa, salesman, salesmen, career, job, door, field, waiter, waitress, bartender, server, d2d",0
"US, TX, Houston",Receptionist - Administrative Assistant,,"   Normal  0   Titan Business Properties (TBP) is one of country's most pre-eminent and prolific developers.  As an all-encompassing property owner, developer and manager, our visionary stance and commitment to excellence have established us as a leading force in real estate industry across the U.S.Full-Time Position (Monday-Friday)$15.85 Per HourHouston, TX rental office","   Normal  0   Job Duties:Produce information by transcribing, formatting, inputting, editing, retrieving, copying, and transmitting text, data, and graphics.Welcome guests and customers by greeting them, in person or on the telephone; answering or directing inquiries.Maintain tenant confidence and protect operations by keeping information confidential.Maintain professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.Qualifications:Basic level of experience with MS Word/Excel.Data entry and reporting skills.Highly organized and detail orientedPrevious administrative or customer service experience a plus ",   Normal  0   Benefits: We offer full medical/dental and retirement benefits to our employees from day 1. We also provide tuition and housing assistance to our employees up to $15K per year. Titan Business Properties is an equal opportunity employer (EOE) and a strong advocate for diversity in the workplace.,1
"US, ND, Absaraka ",Home Based Payroll Typist/Data Entry Clerks Positions Available,,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ","Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.",All you need is access to the Internet and you can participate. This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can from the comfort of your home typing and doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#,1
"US, FL, Tampa",Travel Agent,,"Advantage xPO is part of the Advantage Resourcing group, which is among the ten largest global staffing firms. Advantage specializes in providing contingent and permanent workforce solutions. Every day, we talk to hiring managers, HR directors and senior management to learn their needs. At the same time, we talk about skills and goals with talented people seeking employment opportunities. This ongoing, face-to-face communication gives us a staffing perspective that’s simply unmatched. We are in tune with local conditions, and yet our reach is undeniably global. We don’t hesitate to look across the country or even the globe to align qualified talent with appropriate positions.Our Client, American Express, is in need of a Business Travel Counselor (contractor). He/She will be responsible for coordinating the company's travel needs and scheduling hotel and flight accommodations and procures necessary documentation such as passports, visas, or other clearances. The Business Travel Counselor will also ensure that travel needs are met within the constraints of the company travel budget. This is a 12 month contract opportunity with the possibility of becoming permanent.  ","Must have travel experience (hotel, Car, airline)Must have SABRE or Apollo experienceRequires a high school diploma or GED with 2 years of experience in the field or in a related area.",,1
"GB, LND, London",Trainee Management Accountant,5000.0,"We are looking for an energetic, efficient and enthusiastic Trainee Accountant to join our in-house Finance and Operations team. You will work with an experianced and motivated team, in a fast paced creative enviroment with projects accross the globe and assist with our rapid global expansion.In this role you will support the Finance Manager and Accountants, controlling the finances of the group during a period of huge expansion. We need an ambitious, flexible junior accountant that wants to complete certification and grow a career in Accounting. The position’s responsibilities will develop considerably as the business grows both physically and geographically, as well as in complexity. An integral part of the Blippar team, you will have a terrific opportunity to flourish in a fast-paced creative and innovative environment while it undergoes a phase of significant growth.On a day-to-day basis you will work with the Finance Manager, Management Accountant and Commercial Managers across all areas of the business. You will need to be diligent and precise, ensuring tasks are completed effectively, accurately and in a timely manner. Your duties will include:Helping to complete monthly balance sheets, profit and loss and reconciliationsHelping to integrate and control reporting of group companies through a period of rapid expansion (international)Bringing VAT returns and statutory accounts preparation in-houseSupporting the implementation and improvement of cashflow forecastingHelping to produce and improve statutory and management accountsSupporting the development cost centre of reportingDeveloping and maintaining fixed asset registerAssisting with annual budgeting/forecastingAd Hoc Commercial Analysis - reveiwing cost centres, cash burn rate etc.","We are looking for a junior candidate with a strong degree and ideally some professional experience.You will need to be a strong communicator, enjoy working under pressure, and understand Blippar’s extraordinary short- and long-term potential. Successful candidates will be:Excellent academics - minimum 300 UCAS points from a top University. Degree can be from discipline as long a candidate has relevant work experience.Smart, creative and hard-working, with a proactive personality and commercial approachPart-qualified ACA/ACCA/CIMA, working towards completing qualificationExperienced using cloud accountancy software (Xero, ideally)Passionate about doing a great job and contributing to the success of a high-growth tech company","Our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm. As a growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative freedom and control you’ll be afforded; this is a genuine opportunity to shape a brand new medium and the way in which people all over the world use it.You will be working closely, and from the start, with some of the world’s leading brands, media agencies, publishers and educators - including Pepsi, Warner Brothers, Procter &amp; Gamble, Conde Nast, Disney and Coca Cola - developing creative augmented reality solutions for global powerhouses across the full spectrum of industries. What we are doing has never been done before, so an active imagination is something we value particularly highly.Blippar’s senior management team are dedicated, hands-on, approachable people who will nurture your talent and encourage the development of your own ideas; we believe these are key to the continued success story of our platform.Being part of Blippar’s close-knit, passionate, forward-thinking team affords plenty of potential for learning about and getting involved in all sections of the business. As a creative tech company offering spectacular marketing solutions to clients, there are few areas we don’t touch upon. Life at Blippar is a steep learning curve, ideal for ambitious candidates who wish to push themselves into completely uncharted territories.We also offer:Competitive packagesGreat benefits and shares schemeEmployee incentive schemeFlexible working environmentWeekly beers and free lunchesOur office dog (London)Work with state-of-the-art hardware and softwareA challenge to change the worldChance to shape a new industryCreative freedom and controlCollaborative opportunities with huge brandsPlease apply now for more information about this role, or check our careers page for details of other opportunities to work with us.",0
"GB, , London",Lead information security technology analyst,,"Digital Shadows® runs a cyber monitoring managed service that secures its clients’ digital footprints.  We are an innovative, high-growth security technology start-up.  Having founded in May 2011 we are on an exciting journey.  We are currently based in Canary Wharf, London as part of the vibrant Level39 tech accelerator facility in One Canada Square.  We work with many of the largest financial institutions in the world and are expanding into other sectors.  We work with cutting edge technology in large-scale data processing and analytics.  Our unique technology helps our clients to address unique security challenges.  We’ve developed a technology platform that monitors for our clients leaking business-critical information.  The same platform also identifies criminal groups and organisations that threaten our clients.  Our analysts work with the system to alert our clients to these risks and help them to pre-empt or mitigate issues as they arise.We are looking for a bright, experienced, self-starting person to act as our lead infosec technology analyst.   This unusual and unique role will help develop our approach to the detection of fraud, crime and the use of malicious tools, tactics and procedures across the diverse range of online information sources that the company monitors.  This is a pivotal role providing liaison between the technology development team, the CTO and the analyst team.  We are looking for an individual with a natural curiosity whom is fluent in information and internet security, but also has extensive experience of technical information security research.  We believe that this would be an interesting role that would suit an experienced security testing or forensics professional.  The role provides an opportunity to contribute to a wide variety of tasks.  We have ambitious growth plans for 2014 and beyond and there is huge potential to develop with the role as the company grows, taking on more responsibility and building a long term career.Scope and scale of the roleWe are seeking a specialist information security technology researcher and analyst to lead in supporting our growing intelligence team.  This role provides essential support to our intelligence analysts in interpreting and researching online threats using the Digital Shadows Threat Searchlight platform.We are looking for an individual whom can bring to bear expertise in the security of Internet technologies to support our team of multi-lingual analysts in interpreting and managing technical threat information.The role will be varied and flexible and is expected to include the following primary activities: •    Use of Open Source Intelligence (OSINT) techniques to research the latest tools, tactics and capabilities of a range of online threat actors.  •    Conducting online forensic techniques to enhance the understanding of the WHO and WHY of online threats, helping to enrich and maintain profiles of groups that we are interested.•    Help leverage new data sources to provide relevant context to our clients alerts.•    To help characterise and monitor emergent trends and behaviours of online infrastructure used in attacks.•    Contribute ideas and designs for new features to be added to the Digital Shadows platform.•    To work with the information security research community at large to keep our work at the cutting edge.•    Configure new data acquisition and analysis strategies enhancing, the capabilities to align with our clients’ interests. •    Providing advice and recommendations to clients in response to specific risks.Because we are a small company you may be called on to leverage your expert skills against a range of tasks, for instance advising our sales team on the latest technical threat developments, or assisting our marketing specialists on how best to communicate our unique information security capabilities to potential clients. In all cases you will have the opportunity to make a meaningful difference to the company. You may be asked to work non-standard office hours depending on the level of support we need to provide for international clients so it would be useful if you are comfortable with this.","Skills and experienceThe successful candidate will have-    At least three years working in the information security industry.-    A bachelors degree in a numerate discipline, such as science, engineering, mathematics or computer science.-    A Masters or post graduate study in computer and network forensics, or information (cyber) security, or information assurance is desirable. The role will require an extensive experience and understanding of Internet technologies with one or more of the following topic areas:-    Experience of legal issues in Internet security, including investigations, privacy and communications security laws.-    An understanding of computer forensic procedures and the collection of evidence online.-    Exposure to online research tools such as Paterva’s Maltego, Palantir, i2, Wynyard and/or the research and enumeration tools in Kali Linux.-    A working understanding of the workings of major social networks such as Facebook, LinkedIn, VKontakte.-    Enterprise and Internet Search technologies (Apache Lucene, Solr and Tika).-    A basic working knowledge of malware forensic sandboxing and reverse engineering techniques such as Cuckoo sandboxes.-    Understanding of Internet networking protocols including the Domain Name System (DNS); TCP/IPv4&amp;6, UDP, TLS/SSL and common internet protocols.-    Network architecture, including firewall management, the role of various network components and how weaknesses may lead to vulnerabilities.-    Understanding of common security testing and research tools such as Metasploit, NMap, ZMap, Nessus, Qualys, -    A working understanding of Web Application Security Weaknesses (OWASP)-    An understanding of the basics of cryptography, steganography, encryption key management and Public Key Infrastructure.-    A working appreciation of email SMTP, Mail relays and the global email system, including spam, phishing and mail subversion techniques.","Remuneration - £negotiable based on experienceLocationYou will be based in the High Growth Space on the 42nd floor of One Canada Square, London (part of Level39): #URL_14cbf9f238dee7f3cdb4ada9dfb3c14327d853324a1dad74021d5ee819b62ed1##URL_7d65638631f2145f82045f47f8298d004d95d878300dfcfe193d97a6aa8ef67c##URL_eed1e60199beab11ee3137745a94f4e29dd7a926697cc56bfffdcf98359b705d#We are growing quickly and in mid-2014 we are moving into larger offices on Level 42 of One Canada Square.  We are also planning to open a US office in late 2014.ConfidentialitySome material will be commercially sensitive so there is a requirement to sign a confidentiality agreement and we may require you to go through a formal security vetting.For more information, please contact careers[at]digitalshadows[dot]com (no recruiters please)",0
"US, MD, BALTIMORE",Data Entry,,"A medical company is seeking a Data Entry/Office Admin person. This is a full time position  Job Description: • Data Entry of invoices • Assist in Billing and Receivables • Perform a combination of clerical tasks to support office • Office filing • Answering phone calls • Create and maintain a/p, customers and contractors files • Respond to e-mails, phone and inquiries • Other duties upon request Requirements: • Microsoft Office experiences a Must! (Outlook, Word, Excel) • QuickBooks knowledge a Must! • Advanced computer experience -- a plus • Demonstrate a strong attention to detail • Good Oral and Written communication skills • Ability to work in a fast paced environment • Ability to work in a Team environment • Must be punctual and reliablethe job pays $25/hr",,,1
"US, , ",Team Lead Support Engineer,,"At Neo Technology we are passionate about helping the world understand their data and we believe that (graphs) -[:ARE] -&gt; (everywhere).The use of our Neo4j (#URL_c3aa18fef00f0d0e4ab8b25414c09fbf9d1be1ec9ea4f3a88f467836008aab71#) graph database is growing significantly in industries all around the world.  We need people that are passionate about customer success, tired of old-RDBMS ways, love to get into code, and want to be a part of a real data movement.The Team Lead Support Engineering role at Neo Technology will be both a hands-on and leadership position.  You will work with our customers day-to-day providing technical support for their implementation of Neo4j.  This isn't just a database administration support position though; you'll get directly into code and have the opportunity to guide our customer's Engineering and Operations teams through development and operational configuration.  You will work directly with our Engineering and Product Management teams, collaborating with them to provide technical support and to advocate for our customers requirements.  Strategically, this role will also help define and shape the delivery of technical support to Neo4j customers, including processes for managing support cases, means of providing proactive support, and best practices around queue and case management.","5 years or more experience in Technical Support role with a majority of the time supporting Enterprise customersDatabase system experience with preference towards experience in NoSQL solutions and Neo4j desirable, but not required.Significant experience with Java, which includes the ability to understand, write, and debug Java code; an ability to analyze and troubleshoot complex server-side Java applicationsExperience authoring and producing knowledge-base articles, FAQ’s, and other outbound support documentationCapable of working with remote Engineering teams in multiple different time zones to bring cases to closureWe look forward to (you) -[:WORKING_AT]-&gt;(Neo Technology)",,0
"US, MI, Detroit",Production Supervisor,,"(We have more than 1500+ Job openings in our website and some of them are relevant to this job. Feel free to search it in the website and apply directly. Just Click the “Apply Now” and you will redirect to our main website where you can search for the other jobs.)Job Requirements:Bilingual;Deductive reasoning skills and creative thinking;Food/CPG manufacturing preferred;Knowledge of processes and mechanics of production line equipment;Ability to manage, train and develop individuals;Qualifications Required:4-year degree required.Job Responsibilities:Coordinating production activities with procurement, maintenance and quality control departments to achieve sustained and improved efficiencies;Personnel scheduling;Reviewing production paperwork;Visit: #URL_ec64af2b4fe2ca316e828f93b0cd098c22f8beba98dcac09d4dd7384b221a5e8#-#URL_9753a54b28303bf636a2816399b9c255d76fabb791336a4c748da2611a23264f#",,,0
"AU, NSW, Sydney",PART TIMERS Required For Cash Pay Jobs.,,"PART TIMERS Required For Cash Pay Jobs.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",No any experience required.,,1
"US, PA, Canonsburg",Account Manager - Sales,," We are looking for a sharp and energetic Sales Account Manager who's excited to join a rapidly growing water transfer company in one of the most booming industries in the country. Summary:Responsible for all sales activities, from lead generation through close.Develop and implement plans, which will meet both personal and company goals regarding expanding customer base. Work hard to to achieve customer satisfaction, revenue generation, and long-term account goals in line with the company’s vision and values.   Duties and responsibilities include, but are not limited to, the following:Understand and communicate the company products and services to potential and existing customers.Sell consultatively and recommend to prospects and clients various solutions for accounts receivable issues.Perform customer reporting and coordinate required analysis.Maintain contact with all clients to ensure high levels of satisfaction.  Receive and resolve customer complaints and problems in a timely manner.Gain access to key decision makers at appropriate levels.Provide prospects and customers with price quotes, and ensure they fully understand the parameters.Develop a database of qualified leads through referrals, telephone canvassing, direct mail, email, and networking.Help implement marketing plans.Research trends and developments in primary industry by using related publications, the Internet, and training sessions to maintain and grow current knowledge base.Understand and support sales policies and procedures to provide proper and effective treatment to all customers. Maintain accurate records of all sales and prospecting activities, including sales calls, presentations, closed sales, and follow-up activities.Participate and contribute to the development of educational programs offered to clients and prospects.Proactively establish and maintain effective team relationships with all support departments.Adhere to all company policies, procedures and business ethics codes.Perform other related duties as assigned.","Prior experience in water transfer sales is required.Associate’s degree or a minimum of two-years’ related experience.Dynamic presentation skills. Detail and deadline oriented.Proactive follow-up skills.Self-motivated, ability to work independently and with the team, and ability to multi-task. Must have computer skills and be proficient in Microsoft Office.Meet metrics and activity quotas.",,0
