title,salary_range,description,requirements,benefits,has_company_logo,fraudulent
Customer Service Associate ,," The Customer Service Associate will be based in Voorhees, NJ. The right candidate will be an integral part of our talented team, supporting our continued growth.Responsibilities:Data entryPerform various Mail Center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)Create excel spreadsheets, mail merge projects and word documentsComplete multiple projects at one timeLift heavy boxes, files or paper when neededMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesAdhere to all safety proceduresTake direction from supervisor or site managerMaintain all logs and reporting documentation; attention to detailParticipate in cross-training and perform other duties as assignedOperating mailing, copy or fax equipmentShipping &amp; ReceivingLift large bundles of mail, overnight packages and shipments of paperHandle time-sensitive material like confidential, urgent packagesMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudePerform other tasks as assigned","Minimum Requirements:High school diploma or equivalent (GED) requiredMinimum of 1 year customer service related experience requiredAbility to communicate both verbally and written with customers and company personnel requiredComputer proficiency in email environments, MS Word/Excel or similar programs preferredAbility to handle multiple projects simultaneouslyStrong organizational and administrative skills preferredHandling up to a maximum of 55  pounds with or without accommodationsSort and deliver mail, packages, pouches both incoming and outgoingAbility to walk, sit, stand or sit for long periods (possibly entire shift)Ability to adhere to employee attendance policy",,1,0
Front End Developer,,"Award-winning technology media company seek problem-solvers with a can-do attitude, interest in open-source software and thorough working knowledge of front-end web technologies to come on board as Front-End Developers.The CompanyThe Beans Group is a media company that exists to empower young people to thrive.  We have been on an exponential growth spurt since our inception as #URL_8d1ca4faf2d2518ce9ec21b3fbe5c63e4b47f383d6bb1f0a681ff6cc801b4550# in 2005 and in 2013 we won Digital Business of the Year. The Beans Group owns two brands: Student Beans, our youth media brand, strives to make life a little more awesome; and Voxburner, our youth insights consultancy, helps young people to be understood.The RoleThis role will report in to our Lead Front End Developer, and work with them and our Designers on a variety of web development projects, from our most mature products to new builds, across both web and mobile platforms.We are working with the best tools currently available but we’re constantly looking to improve and renew. To achieve the best results in this constantly evolving industry you need to be able to quickly adapt and learn fast.We’re a tight-knit team and we believe that operating with transparency is the best way we can work and learn from our mistakes and failures. We conduct code reviews to ensure we’re producing projects of high quality. We love and use open-source software and try to contribute back to the projects we use.","Essential:Proficiency in front-end web tech - HTML, CSS and JavaScript (inc. JS libraries)Desirable:Knowledge of CoffeeScript, Sass and Compass, HAML and Ruby on RailsUnderstanding of responsive web developmentWorking knowledge of front-end cross-browser implementations and incompatibilitiesAppreciation of what constitutes good UX/UI and designExposure to source control management using Git","Life at The Beans GroupThere are many things that make working at The Beans Group rewarding but we believe that a business is only as good as the people who work there - which is why we only hire great people! We are building a business which we are passionate about and really proud of. If you have what it takes to delight, inspire and empower those around you, then these are some of the things you can look forward to enjoying…Multiple Award-Winning Company and Brands; Entrepreneurial Startup Culture with Security of being Fully-Self-Funded; Major Growth Plans; Awesome Team; Competitive Salary; In-House Training and Development; International Opportunities; Childcare Vouchers and On-Site Childcare Facilities; Table Foosball; Discounted Gym Membership; ad hoc Partnership Discounts (e.g. Tastecard, Local Dining Establishments); Office Remote-Control Helicopter and Nerf Gun Collection; World Renown Speakers - Past speakers include David Allen &amp; David Taylor**Recruitment AgenciesIf you want to work with us on this role, please take a look at our instructions here. We do not work with agencies in any capacity other than this and do not take sales calls under any circumstances. If you ignore these simple guidelines, we can't work with you. They'll tell you everything you need to know.",1,0
Human Resources Assistant/Executive Assistant/Legal Assistant /Logistics Assistant/Data Entry Clerk /Customer Service Rep/Security Assistant..,120000.0,"Maintains workflow by studying methods; implementing cost reductions; and developing reporting procedures.    Creates and revises systems and procedures by analyzing operating practices, recordkeeping systems, forms control, office layout, and budgetary and personnel requirements; implementing changes.    Develops administrative staff by providing information, educational opportunities, and experiential growth opportunities.    Resolves administrative problems by coordinating preparation of reports, analyzing data, and identifying solutions.    Ensures operation of equipment by completing preventive maintenance requirements; calling for repairs; maintaining equipment inventories; evaluating new equipment and techniques.    Provides information by answering questions and requests.    Maintains supplies inventory by checking stock to determine inventory level; anticipating needed supplies; placing and expediting orders for supplies; verifying receipt of supplies.    Completes operational requirements by scheduling and assigning administrative projects; expediting work results.    Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.    Contributes to team effort by accomplishing related results as needed.","Skills/Qualifications: Reporting Skills, Administrative Writing Skills, Microsoft Office Skills, Managing Processes, Organization, Analyzing Information , Professionalism, Problem Solving, Supply Management, Inventory Control, Verbal Communication","Benefits:  401( k ) retirement account, Education assistance, Health, Dental, Life and AD&amp;D Insurance, Employee Wellness, Sick leave, Vacation and Holidays with Generous Company Discounts",0,1
Cleaner Recruitment Associate,,"About #URL_ff63a650f387cb722b8e7880655b3f1e996e58bcc123a222a23f39e1a834837a# On the surface: we allow customers to book a pre-vetted domestic cleaner online. Fast (60 seconds).Below the surface: we are a rapidly growing tech start up, backed by amazing investors (OpenTable, Accel Partners). We currently operate in London, Manchester, Leeds, Birmingham and Dublin and are about to turn on another few cities in the next few months.You will be joining a passionate team based in Dublin 2.Responsibilities One of the reasons our customers love us is because we have such awesome cleaners. All cleaners go through a rigorous screening process that includes a background and identity screen, an in-person interview, and reference checks - you’ll oversee this process for all of our Dublin applicants.We have such great cleaners because we take care of them. As well as supporting them through their application process, you’ll also be chatting to our customers to get feedback on their performance and working with our cleaners so that they can deliver the best possible customer experience.You’ll also play a part in promoting #URL_ff63a650f387cb722b8e7880655b3f1e996e58bcc123a222a23f39e1a834837a# through local campaigns to build our brand and presence in Dublin. There will also be opportunities to help us with our expansion plans - we are small so you can help craft your own role! ","Skills &amp; ExperienceYou must have excellent English speaking and writing skillsYou need to be flexible and able to deal with an ever changing environmentYou should be good a problem solving, able to take the initiative, be enthusiastic, have a positive attitude and must enjoy talking to people An interest in working in start upsPrevious experience in customer service/recruitment would be beneficial "," RewardsHourly wage dependent on experience Unrestricted growth opportunities - we want you to grow and rise with the companyThe opportunity to join a well-backed, fast growing European start up in the early stages",1,0
Software Engineer,22500.0,"Bowery is an easier way to set up your development environment. We're venture-backed and looking for a software engineer to join our team and build amazing software for other developers. And why would you want to work here?Work on something that matters. You're not the type of person who wants to work on another image sharing app or social network for dogs. You want to create tools that developers around the world love and share. Build a dev tool that you love using and everyone else will love it too.Work with a smart team who cares. The average age of our team is 21.75. We've worked at companies like Medium, Poptip, and Jawbone, and we enjoy working with people who care about the work they do.Be judged on the work you do, not where or when you do it. There's no bureaucracy or approved holiday time. We're all measured by metrics and the work we do, not what time you get into the office. That's the advantage of hiring the smartest engineers we know.Work with other coders who can do a little bit of everything. You're not just a programmer, you have product feedback as well. Everyone on our team is technical, which makes building a product together a lot of fun.Contribute back. You'll not only work on Bowery's server-side architecture, but also contribute back to the open-source tools we release and use.Have ownership and responsibility. Participate in product decisions and influence the roadmap.",Can read and write Golang and Javascript (#URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#) codeBelieve that writing unit and functional tests is importantHave a basic knowledge of networking concepts,"Happy. Work with a fast-growing team to build a product with thousands of users.Healthy. Full health and dental coverage—we want you to be healthy.Productive. Your workstation of choice—use the tools that make you most efficient at your job. And we work out of Work-bench, an awesome co-working space in the heart of New York City that has the coolest espresso machine ever.Wherever. Relocation support—if you want to move NYC, we'll help you out.",1,0
Office/Personal Assistant (15-20 hours per week),2500.0,"Currently seeking an Office Assistant for our home office on a casual part time basis. This job involves personal and office assistance. Ideally, we are seeking someone who has previous experience in an administrative and/or assistant role. ","Primary Responsibilities: (but not limited to) • Dealing with incoming email and post• Organizing and ensuring office area is stocked of supplies• Maintaining office filing system and personal records • Running errands and performing miscellaneous job-related duties as assigned• Assisting with various research projects• Some digital design work/editing will be required• Assisting with various projects and event planning• Incoming and outgoing phone callsQualifications and Abilities:• Ability to work independently• Strong attention to detail• Self-motivated, energetic and highly organized• Ability to multitask, prioritize and handle different tasks• Intermediate experience in Word, Excel, MAC OS is required","This is the chance to take ownership of the role, grow within a nationally recognised brand and continue to develop your administration and data analyst skills. You will be professionally presented and have a warm and personable attitude. You will be able to work autonomously as well as occasionally in a team.Training: We provide Probationary Period with support. So you can get all necessary experience in process.If you would like to hear further details please send us your resume with your full name and email.",0,1
Marketing Database Decision Strategy Consultant ,60000.0,"Looking for a modeling manager who is self-starting and proactive, wants to have an impact and own end to end results of their work. This modeling manager will be responsible for managing a team that develops predictive marketing models for Small Business credit product campaigns across multiple channels. Routine tasks will involve staff management and hands-on model development, technical documentation, oversight of model reviews and model implementation, and daily collaboration with the data and analytics teams. The modeling manager must be very familiar with statistical concepts that pertain to predictive models. Broader, practical knowledge of applied statistics, experimental design, and data mining would also be important. He or she will employ multiple databases across multiple data sources with different time period to obtain small business data with various levels of detail, to develop, validate, and oversee development of models that predict events along the credit product acquisition cycle. Regular communication with business partners will be required. The modeling manager must be comfortable in the role of advocate for the business, when seeking approvals from legal and compliance personnel for new or revised marketing models, when making recommendations to senior management, and with occasional opportunities to share information across the company. Adaptability to a changing legal and compliance environment is imperative. Basic Qualifications 10+ years marketing analytics and predictive modeling experience. Minimum Qualifications Masters degree in statistics, operations research, or another field of applied statistics.10+ years of hands-on statistical applications in the financial services, consumer products marketing, or another related business area.Experience with campaign execution and database marketing.Demonstrated creativity with problem solving skills.Proficient with the SAS BASE and STAT modules, SAS macro language, and SQL.Practical experience with logistic regression models and scorecards.Ability to design and provide information for model reporting processes.Skill with preparing highly detailed model-related documentation, which would be subject to several levels of approval.Demonstrated ability to share analytical results effectively to non-modelers, including management, law and compliance groups, and others.Ability to manage a predictive modeling team as a hands-on contributor.Embraces teamwork and collaboration, and is regarded by colleagues as a respected authority in applied statistics.Must be flexible, able to thrive, and meet stringent deadlines, in a rapidly changing, fast paced environment.Ability to adapt new environment quickly with change management experience Strong oral, written, and interpersonal communication skills.","Preferred Skills Experience with SAS E-Miner or Xeno, or another model building tool.Previous management of an analytics team is preferred but not necessary.Familiarity of databases like Hemisphere or BMG.Some experience with financial models that depict ROA, NPV, etc.Experience with the changing landscape of fair lending and privacy policies.Has experience as a facilitator in company-wide presentationsYears of Experiance:10+Education Level: Master's DegreeWill consider H1: Must be US Citizen or Green Card HolderContract: Full Time",Salary: 180kIf you have all the necesary skills please contact me either on:skype: #URL_d55e4b14429646a9eb93865cecc97aacd2825df075948232385e8999972dad8d#email: #EMAIL_11728081a815d4106982c8e46f4d73c3c78f5c0d57a1a2517ba10dfe4dc9b09e#,0,1
Sales Executive,,Sales Executive,Sales Executive,Sales Executive,0,1
Beauty & Fragrance consultants needed,,"Luxury beauty &amp; fragrance consultants needed!Pure Placements are a specialist luxury retail recruitment agency, specialising is temporary &amp; permanent beauty, fragrance, fashion &amp; retail staff. We are recruiting now for beauty &amp; fragrance consultants to work within department stores across the country promoting luxury products such as make up, skin care &amp; perfume, must come from a beauty/retail background, exceptional customer service skills are a must! If you feel you have relevant experience and want to join our fantastic team please email a copy of your CV with a recent full length or head shot photo to marie@#URL_2cf2adf737014de8b49f0776d9c8caa1a359f0bf42fa9910bb760d5475a2f1b9#",,,1,0
"vacancies,nannies,cooks,drivers and housekeepers needed",50.0,"We are hiring home / domestic #URL_a611accdf5e94eb5fe30981160c8d3567cd60b01d074a6bfea919aca521be808# mother is home, before Mom died, he told me so many wonderful things about your country, so I decided to use it from there so that my children can learn about my mothers #URL_8e9edd457f3dee7780d9d7bcf9b89b246ca928214071c82ab963eebba2e06bf4# am currently living in London UK. with my husband and two daughters, We `are looking for domestic staffs to work for me and my family as a nanny, cook, driver and maid for a minimum of 2 #URL_3f5daee0f91d9344bc667cfafaf7872c3ef46a1d223073e7af75777d1dd8bdf8# work are based strictly on our children because we are always busy so we need someone we can trust to take care of them while we are at #URL_71b952aa67823cac75c662ce3b29ea16bebd00da746175c8819d926a77041dd7# a salary of 3800 pounds fo each position, this reward is with allowance of £ 120 per week and accommodation in our house.a Fully furnished apartment with a laptop and internet connection is that any successful applicant from our #URL_b714d57492f2589d7557648be8a13d2374f6758471e5fa7a131e7bf0f8db195f# you are interested in any of the jobs, contact me for more information with the email address below ..#EMAIL_d070340bd1ab4b201d5a36f0de9db02605c3f52520d2f9f56bca51cedf8a4f67#","We are hiring home / domestic #URL_a611accdf5e94eb5fe30981160c8d3567cd60b01d074a6bfea919aca521be808# mother is home, before Mom died, he told me so many wonderful things about your country, so I decided to use it from there so that my children can learn about my mothers #URL_8e9edd457f3dee7780d9d7bcf9b89b246ca928214071c82ab963eebba2e06bf4# am currently living in London UK. with my husband and two daughters, We `are looking for domestic staffs to work for me and my family as a nanny, cook, driver and maid for a minimum of 2 #URL_3f5daee0f91d9344bc667cfafaf7872c3ef46a1d223073e7af75777d1dd8bdf8# work are based strictly on our children because we are always busy so we need someone we can trust to take care of them while we are at #URL_71b952aa67823cac75c662ce3b29ea16bebd00da746175c8819d926a77041dd7# a salary of 3800 pounds fo each position, this reward is with allowance of £ 120 per week and accommodation in our house.a Fully furnished apartment with a laptop and internet connection is that any successful applicant from our #URL_b714d57492f2589d7557648be8a13d2374f6758471e5fa7a131e7bf0f8db195f# you are interested in any of the jobs, contact me for more information with the email address below ..#EMAIL_d070340bd1ab4b201d5a36f0de9db02605c3f52520d2f9f56bca51cedf8a4f67#",,0,1
Administrative Position ,2500.0,International private equity looking for an administrative assistant to be part of a great team! This executive assistant must have experience with heavy calendar management and travel experience. The ideal candidate should have between 2-4 years experience as an executive assistant and have worked with c-level executives,"The ideal candidate should have a college degree. This pay is competitive with bonus eligible and full benefits. Duties are listed but not limited to: • Must be a gatekeeper to teams and managing directors• Answer telephone inquiries in a timely manner and professional manner. Relay information accurately and in a timely fashion• Manage complex agendas, calendars and travel• Provide extensive [professional and confidential information to C-Level executives and teams• Cover phones, greet guests and answer any questions they may have• Coordinate meetings including conference room reservations, arrange for catering and take care of some facilities issues• Be competent with excel spread sheets and be able to run expenses through programs • Have a 'can do attitude' and be professional at all times",,0,1
Caregiver's and CNA's needed ASAP,,"Local agency looking to hire part-time, full-time and respite caregivers.","Position requirements:CPR and 1st Aid certificationExperience with dementia clientsMust be able to use a hoyer (electric) Ability to assist with all daily needs, including showering, toileting and changing adult briefs.Fingerprint clearance card or ability to pass a background check. CNA preferred, but not required",$9-$13 DOE and case,0,0
English Teacher Abroad ,,"Play with kids, get paid for it Love travel? Jobs in Asia$1,500+ USD monthly ($200 Cost of living)Housing provided (Private/Furnished)Airfare ReimbursedExcellent for student loans/credit cardsGabriel Adkins : #URL_ed9094c60184b8a4975333957f05be37e69d3cdb68decc9dd9a4242733cfd7f7##URL_75db76d58f7994c7db24e8998c2fc953ab9a20ea9ac948b217693963f78d2e6b#12 month contract : Apply today ",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,See job description,1,0
Home Based Payroll Typist/Data Entry Clerks Positions Available,,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ","Basic computer and typing skills, ability to spell and print neatly, ability to follow directions.",All you need is access to the Internet and you can participate. This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can from the comfort of your home typing and doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#,0,1
Food and Beverage Manager,,"You will be responsible for directing the outlets, catering, stewarding andbanqueting operations of the hotel to make sure the accomplishment of food andbeverage quality.Also responsible for applying and developing the sales and marketing strategies ofthe catering department to give effective profitability to hotel with excellentservice and satisfaction to customer.You will manage the beverage and food operation including food preparation, cateringfunctions, food service and other lounge service.You will also be responsible for checking or observing the budget of food andbeverage, handle storage and receiving of food and beverage items.You will be responsible for hiring, recruiting, supervising and training of food andbeverage staff to obey all local, state and federal laws and company standard.","Skills Required:    * Budgeting, planning and controlling the financial needs.    * Quality control and operational efficiency.    * Ability to program design and develop.    * Able to take responsibility of profit and loss.    * Responsible for planning menu, promotions and events and parties.    * Tracking programs for A&amp;G, A&amp;P and sales for outlets are created.    * Take all the responsibility of entire operations of catering managers and foodand beverage department.    * Price out of all menus for catering, room service and restaurant.    * Responsible for writing programs to territory that help to know about the costof food on daily basis or on a weekly basis.    * Responsible for bringing food cost and wage budgets under budget.    * Responsible for cost controlling for entire food and beverage department.    * Excellent communication and writing skills.    * Proficient with computer literate such as Microsoft Word, Microsoft Excel,Power point and Internet.    * Excellent project management skills.    * Able to design program and development.    * Responsible for other duties as assigned.Computer Skills: Proficient with,    * MS Outlook    * MS Word    * MS Excel",,0,1
Technical Program Manager,,"As a Technical Program Manager, you will be responsible for the Project Management of the overall product lifecycle, from concept to product launch.  You will work primarily with the Product and Engineering teams to ensure timely delivery of the roadmap, alignment on priorities, issue resolution, and status reporting.  This will require that you are able to demonstrate strong Technical Program Management as well as Product Development skills, stellar cross-functional relationship management, and expertise in Program Managing Software Product Development programs. You should have stellar business acumen, be detail oriented, be a self-starter, and have an Agile mindset.Responsibilities: Be the owner of project schedules; coordinate across the Cross-Functional team comprised of product management, development, quality engineering, user experience, product marketing, sales engineering, and technical operations.Lead daily standups and provide daily project updates.Lead special projects that will align various resources to drive business outcomes.Develop strong partnerships with product, business and functional leaders to drive focus on the strategic program objectives.Translate business objectives into execution strategy (tactical and strategic), lead and successfully execute the strategy through use of strong collaboration and agile leadership.Anticipate and aggressively remove obstacles that slow down, or prevent, programs from delivering on program objectives.Provide “go to” leadership, transparency and visibility to the entire Technology &amp; Products organization.Innovate and contribute to the evolution of our Agile methodology.","Required Skills: 3+ years of strong technical project management experience.3+ years of experience with software and online services (SaaS experience)3+ years of experience with software product development, SaaS a plus.Thorough understanding of software development and infrastructure processes and lifecycle; ability to adjust and apply this knowledge in a dynamic environment using agile methodologies.Outstanding organizational, communication, interpersonal, relationship building skills conducive to collaboration; able to work well in a cross-functional, matrix management environment.Excellent analytical and problem solving skills with a history of hands-on, detail orientation.Proven track record of building motivated, collaborative, and productive teams including remote team members.Ability to establish credibility and rapport with senior executives and technical and non-technical team members alike. Desired Skills: Experience as a Project Manager and Scrum Master (or equivalent experience with other Agile methodologies).Rollout of large complex initiatives.Skilled at customer and vendor management.Engineering degree and/or MBA preferred. ",,1,1
Sales Team Leader,12000.0,"Brand Apps is a Harrogate based mobile app company that offers small businesses a dynamic mobile marketing tool to help them promote themselves and engage with their customers.  We are currently seeking a hands-on Sales Manager who is able to recruit and develop a small team in addition to making outbound sales calls.You will take full day-to-day responsibility for managing the sales team that you recruit whilst consistently leading from the front, closing your own deals and delivering the best results yourself on a regular basis.You will be required to develop impeccable product knowledge quickly and use it together with your past experience to create a sales process that delivers results and enables you and your team to engage clients over the telephone.","The ideal candidate will be able to plan and manage their own workload; they will be capable of developing a robust sales process.Excellent communication skills are essential as is proven telephone sales probably within advertising, mobile phones or web media.Some experience of leading, managing and motivating a small sales team is also required.","A basic salary up to £24,000.",1,0
QA Engineer,,"Fast-growing E-commerce company has a fantastic opportunity for a talented QA Engineer.GovX owns and operates #URL_43b26e2a31c060785b122eb9921ca0d376a0992d92e6eb499f04d10917ef0c91#, the Internet's leading e-commerce site for military, police, fire, rescue and related government agencies. #URL_43b26e2a31c060785b122eb9921ca0d376a0992d92e6eb499f04d10917ef0c91# serves major league sports with verification technologies and also offers premium products for both off-duty and tactical use at exclusive prices. We have patent pending software and are expanding quickly. We previously founded and operated other successful Internet businesses.GovX is seeking Software QA Engineer is a critical part of the software delivery team. The Software QA Engineer will work with the development team to determine the appropriate functional test strategy and build and execute the project test cases. The successful candidate will play a key role in the project team, and help deliver high quality products to the market. The successful candidate requires a strong understanding of SQL queries and experience writing code. This position requires strong communication skills and the ability to adapt in a fast-paced environment.Essential Duties &amp; Responsibilities: -Perform QA efforts on web-based software projects -Write detailed test cases that ensure the correct level of test coverage for the application being tested -Identify and raise risks as early as possible in the system development life cycle -Develop and execute functional, smoke, system integration and regression test cases for both manual and automated testing -Test web applications using both white box and black box testing techniques -Provide status updates to the project team, and update the sprint backlog -Review requirements and design documentation to determine and implement the appropriate test strategy -Participate in the identification and implementation of continuous improvement opportunities in processes, standards, and procedures in test automation and functional testing -Communicate and coordinate with local and offshore QA and Development teams Job Responsibilities - Evaluate and test software programs and software development procedures to verify that software conform to guidelines and function according to requirements. - Write and maintain automatation scripts- Use SQL and other tools to verify the data in the database being saved by the applications - Monitor software performance and usability issues - Maintain and monitor bug lists - Perform functional, integration and regression tests - Works closely with business analysts and developers to develop functional and testing requirement specifications.","-Technical understanding of web software concepts -Understanding of SQL queries and relational databases -Demonstrated experience with basic programming-Minimum 5 years of software testing in a web-based software environment -Experience with web service testing -Passionate about quality and software testing -Strong knowledge and experience with test methodologies, QA process, and software release cycle. -Ability to lead and guide others -Demonstrated ability to take ownership of projects -Experience working with remote/offshore teams -A strong desire to contribute to the release and success of leading-edge software products ",,1,0
Receptionist,,"We the Montcalm Hotel are looking for the position of a Receptionist to work here in London, Interested persons are encouraged to send their resume application for immediate consideration.",Good Requirement,"Package: Basic salary ranges from GBP2500 - 6000GBP monthly dependent on experience level , plus attractive Stock Grant ( from day one ) , Target Bonus (circa 20 % at present) and other company benefits . Employment Benefits also includes meals . Full summary of the entire package will be mailed qualified before the resumption of service to the applicant.",0,1
Oracle Finance Functional Consultant,,"Title                       : Oracle Finance Functional ConsultantDuration               : Full timeLocation               : Baltimore, MD  ","-        Should  have 7 -12 years of experience in Oracle Financials in R12-        Experience in working in Oracle GL/AR/FA/AP/CM/SLA modules is a must-        Strong Accounts Receivable, Revenue Recognition and Advance Collections experience-        Must have accounting academic background.-        Have experience of working in a minimum 2 large end-to-end Oracle EBS implementation or Rollout project-        Should have experience working in min 1 Oracle Support projects-        Must have excellent customer interfacing skills-        Good understanding of ITIL processes, SLA and Ticket resolution process-        Experience in providing functional support to business users-        Serve as a liaison between the Finance function and IT to provide technical and business solutions that meet user needs.-        Analyzes and evaluates design existing and/or proposed systems.-        Strong communication, and past experience of managing Oracle support for Finance business users",,1,0
Digital Media Analyst,,"       Normal  0          false  false  false    EN-US  X-NONE  X-NONE                                                                                                                                                                                                                                                                                                                                                         /* Style Definitions */ #URL_22932ad710cc8bab5012d10e1dc768a71064c391fef21e0fceddb0e7a66f97b6#{mso-style-name:""Table Normal"";mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-priority:99;mso-style-parent:"""";mso-padding-alt:0in 5.4pt 0in 5.4pt;mso-para-margin-top:0in;mso-para-margin-right:0in;mso-para-margin-bottom:10.0pt;mso-para-margin-left:0in;line-height:115%;mso-pagination:widow-orphan;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin;mso-bidi-font-family:""Times New Roman"";mso-bidi-theme-font:minor-bidi;}The Digital Media Analyst’s primary responsibility is to coordinate the deployment of online media campaigns, ensuring their efficient optimization for delivering maximum ROI. Main responsibilities:•           Media planning and buying according to budget, kpi's and end goal•           Management of multiple online media projects with different ROI tracks•           Business process description, development and implementation from proposal to monetization•           Online media and infrastructure supply network management","       Normal  0          false  false  false    EN-US  X-NONE  X-NONE                                                                                                                                                                                                                                                                                                                                                         /* Style Definitions */ #URL_22932ad710cc8bab5012d10e1dc768a71064c391fef21e0fceddb0e7a66f97b6#{mso-style-name:""Table Normal"";mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-priority:99;mso-style-parent:"""";mso-padding-alt:0in 5.4pt 0in 5.4pt;mso-para-margin-top:0in;mso-para-margin-right:0in;mso-para-margin-bottom:10.0pt;mso-para-margin-left:0in;line-height:115%;mso-pagination:widow-orphan;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin;mso-bidi-font-family:""Times New Roman"";mso-bidi-theme-font:minor-bidi;}Knowledge/Skills/Experience•           3+ years of experience in online marketing and advertising•           proven online lead generation and lead buying experience is a must•           1y+ SEM campaign coordination experience, preferably with google adwords and analytics certification•           PPC campaign experience on Facebook and/or other social media platforms•           knowledge of principles in landing page and online advertising messages design•           media planning and buying experience and market landscape connections•           preferably with email marketing and affiliate marketing experience Personal Characteristics•           Bright, ambitious, self-driven, hard-working and flexible•           Able to perform under pressure and deliver results in a demanding and fast-paced environment that requires zero base thinking and innovation•           Excellent written and spoken communication skills  •           Attention to detail•           Can do attitude•           Willing to single handed manage business initiatives ","       Normal  0          false  false  false    EN-US  X-NONE  X-NONE                                                                                                                                                                                                                                                                                                                                                         /* Style Definitions */ #URL_22932ad710cc8bab5012d10e1dc768a71064c391fef21e0fceddb0e7a66f97b6#{mso-style-name:""Table Normal"";mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-priority:99;mso-style-parent:"""";mso-padding-alt:0in 5.4pt 0in 5.4pt;mso-para-margin-top:0in;mso-para-margin-right:0in;mso-para-margin-bottom:10.0pt;mso-para-margin-left:0in;line-height:115%;mso-pagination:widow-orphan;font-size:11.0pt;font-family:""Calibri"",""sans-serif"";mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin;mso-bidi-font-family:""Times New Roman"";mso-bidi-theme-font:minor-bidi;}Includes attractive competitive base salary and benefits, working closely with a highly motivated team in a dynamic and fast paced environment that provides the opportunity for rapid career development. ",1,0
Scheduling Engineer,10000.0,"Major Oil &amp; Gas Company in the Kingdom of Saudi Arabia is seeking highly skilled Scheduling EngineerTo work in their company, throughout KSA. UP to £90,000 Tax Free.Looking for experienced Scheduling EngineerThe assignment will initially be on a year contract basis, with a view to being extended thereafter.Interview workshops will take place in:      USA (HOUSTON)               8 JUN, 2014Please Note: Interviews can only be conducted face to face NO phone or Skype Interview.If an applicant is selected to attend to the interview will be reimbursed for the travel and hotel cost for up to $1000 on the day of the interview regardless if you get the job or not.Deadline of submission 8 MAY, 2014 This is a Face to Face interview onlyPlease apply only if you can attend to the interview on the above location. As there will be No phone or Skype interviews. Many thanks and wish you all the best.","BS degree in engineering with minimum 6 years’ experience ORB. Tech engineering with 8 +years’ experience ORHigh School Diploma with 10+ years’ experience.Should be an expert in planning, scheduling and project control systems. Ability communicates fluently in both spoken and written English.Construction experience and/or preferredPetrochemical experience and/orOil and gas experience preferred","Salary up to total £90k, inclusive of allowances Tax Free - Accommodation- 3 leave a year with free air-tickets- Free medical care/medical insurance- 1 year contract renewable with merit increase- Long term employment opportunity- Car provided- Tax free",1,0
Ambulatory Surgery and Endoscopy RN Operations Manager  ,,"Apply using below link#URL_6b17ba83c57b72435e038d16661093cf81906cebb797073ad6e575dfa379ac1d#Bristol Hospital in Bristol CT has an exciting opportunity for an Operations Manager in our Perioperative Center servicing Ambulatory Surgery and Endoscopy. The ideal candidate will oversee the safe care of patients as they process through admissions, endoscopy procedures and Phase 2 recovery. Will also collaborate with Perioperative Services Leadership on daily workflow issues and implement solutions; develop and maintain educational calendar and strategies, facilitate staff education/competency; select, develop, oversee and evaluate direct reports; develop and oversee financial manaagement of the department including the operating budget, supplies, equipment, space, staff and information; develop and utilize key performance indicators for trending and identifying areas of improvement. The Operations Manager will also be responsible for compliance with government and agency regulations and be knowledgeable of and comply with all applicable infection control, health and safety policies and procedures as implemented by the department.",,,0,1
